concert,place,location,latitude,longitude,year,date,playlist
Christmas Party 2014,San Donato Milanese (MI),Stoker - Restaurant & Cocktail Lounge,45.41912025,9.254348153,2014,21/12/2014,
Christmas Party 2015,San Donato Milanese (MI),Stoker - Restaurant & Cocktail Lounge,45.41912025,9.254348153,2015,20/12/2015,
50's Party,Landriano (PV),Cascina Bruciata - contea Del Sole,45.32626162,9.259023306,2016,11/6/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD""></iframe>"
Camilla's Degree Party,San Giuliano Milanese (MI),Rocca Brivio,45.37011021,9.323211485,2016,23/09/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQsx48wV5tLpmYbAA5BfW53""></iframe>"
Christmas Party 2016,Caleppio di Settala (MI),Dundee Pub,45.43239833,9.3784434,2016,18/12/2016,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQOfk9pf6mdFPP_tzQwQIU2""></iframe>"
Country Event 2017,Settimo Milanese (MI),Il Nuovo Boscaccio,45.46841063,9.05555105,2017,16/06/2017,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH""></iframe>"
Christmas Party 2017,Caleppio di Settala (MI),Dundee Pub,45.43239833,9.3784434,2017,17/12/2017,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN""></iframe>"
Halloween Party 2018,Caleppio di Settala (MI),Dundee Pub,45.43239833,9.3784434,2018,31/10/2018,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk""></iframe>"
Martina's 18th Birthday Party,Caleppio di Settala (MI),Dundee Pub,45.43239833,9.3784434,2018,2/12/2018,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPESAFz3ZRQ4gZTtYIvehRb3M""></iframe>"
Cristina's 50th Birthday Party,San Giuliano Milanese (MI),Rocca Brivio,45.37011021,9.323211485,2019,28/09/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPERkly8jenagw3o3U4H6CtxI""></iframe>"
Palco Aperto Event 2019,Milano,Mare Culturale Urbano,45.46860521,9.124040795,2019,2/11/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEQxp3qFIbmKmdEX7RGZU42B""></iframe>"
Christmas Party 2019,Caleppio di Settala (MI),Dundee Pub,45.43239833,9.3784434,2019,21/12/2019,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPETya3CXmcudNLE0edFQ3307""></iframe>"
Laura's Birthday Party 2020,Milano,"Laura's House - Via Villapizzone, 26",45.50006294,9.143146318,2020,22/02/2020,
Barona Beer Festival,Milano,Parco Teramo,45.43526274,9.141885978,2020,27/09/2020,
The Underground Friday,San Donato Milanese (MI),Bob Food and More,45.41704714,9.259216649,2022,21/10/2022,
Christmas Concert 2022,San Donato Milanese (MI),San Donato Milanese Civic School,45.40671548,9.263698909,2022,16/12/2022,
Chill Sunday,San Donato Milanese (MI),Bob Food and More,45.41704714,9.259216649,2022,18/12/2022,
"Plug & Play Jam Session (Apr 6, 2023)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2023,6/4/2023,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPEStVIUkVyv2ZB4PlUeK02QW""></iframe>"
"Plug & Play Jam Session (May 25, 2023)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2023,25/05/2023,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPESGECtLx3YRkd98o0F14NG6""></iframe>"
Mama's 80th Birthday Party,San Donato Milanese (MI),Bob Food and More,45.41704714,9.259216649,2023,12/9/2023,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPESQYg-TivCb5WBjsW4zQa0O""></iframe>"
"Plug & Play Jam Session (Oct 26, 2023)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2023,26/10/2023,"<iframe width=""300"" height=""169"" src=""https://www.youtube.com/embed/playlist?list=PLhIw1_0YGPESy7x4zc-oaUZ1hjTUfchGk""></iframe>"
"Plug & Play Jam Session (Nov 30, 2023)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2023,30/11/2023,
Christmas Concert 2023,San Donato Milanese (MI),San Donato Milanese Civic School,45.40671548,9.263698909,2023,21/12/2023,
"Plug & Play Jam Session (Dic 21, 2023)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2023,21/12/2023,
Tucci's 50th Birthday Party,Milano,Oratory of San Giuseppe Calasanzio Church,45.47176084,9.124419302,2024,13/01/2024,
"Plug & Play Jam Session (Feb 08, 2024)",Melegnano (MI),Musicolepsia,45.35797095,9.31467101,2024,8/2/2024,
Camilla's 30th Birthday Party,Milano,Loft Macaubas,45.4465895,9.152076779,2024,9/3/2024,
